prix,Kilométrage,Mise en circulation,Énergie,Boite vitesse,Puissance fiscale,Transmission,Carrosserie,Date de l'annonce,Gouvernorat,Marque,Modèle,Couleur extérieure,Couleur intérieure,Sellerie,Nombre de places,Nombre de portes,Cylindrée,ABS,Airbags frontaux,Airbags latéraux,Airbags rideaux,Alarme anti-intrusion,Anti-démarrage électronique,Anti-patinage,Contrôle de pression des pneus,Fixations ISOFIX,Pneumatiques runflat,Radiateur tropicalisé,Caméra de recul,Caméras 360,Coffre électrique,Jantes en alliage,Radar de recul,Peinture métallisée,Feux à LED,Phares au xénon,Phares Full LED,Antibrouillards,Lave Phares,Toit ouvrant,Toit panoramique,Vitres teintées,Accoudoir avant,Accoudoir arrière,Affichage tête haute,Autoradio,Autoradio CD,Autoradio CD/Mp3,Apple Carplay,Android Auto,Bluetooth,Boîte à gants réfrigérée,Chargeur CD,"Connectivité Aux, usb, iPod",Navigation,Palettes au volant,Sièges sport,Sièges chauffants,Sièges massants,Sièges ventilés,Sièges réglables en hauteur,Sièges électriques,Vitres teintées,Volant/levier de vitesse en cuir,Volant multi-fonctions,3 appuis têtes arrières,Volant réglable hauteur/profondeur,Volant chauffant,Instrumentation numérique,Allumage automatique des feux,Accès sans clé,Bouton Start & Stop,Climatisation,Climatisation automatique,Direction assistée,Détecteur de pluie,Fermeture centralisée,Ordinateur de bord,Régulateur de vitesse,Conduite semi-autonome,Rétroviseurs électriques,Rétroviseurs rabattables,Vitres électriques,Suspension pneumatique,Parkassist
62 000,160 000km,12.2011,Essence,Automatique,11cv,Propulsion,Coupé,16.12.2024,Tunis,Mercedes-Benz,Classe E coupé,Gris anthracite,Rouge,Cuir intégral,4,3,899cm³,true,true,true,true,true,NA,true,true,true,true,NA,NA,NA,NA,true,true,NA,true,NA,NA,true,true,true,true,NA,true,NA,NA,true,true,NA,NA,NA,true,NA,true,NA,NA,true,NA,true,NA,NA,true,true,NA,true,true,true,true,NA,NA,true,NA,NA,true,true,true,true,true,true,true,true,true,true,true,NA,NA
115 000,120 000km,01.2017,Essence,Automatique,7cv,Propulsion,Berline,16.12.2024,Tunis,BMW,Série 4 Gran Coupé,Blanc,Noir,Cuir intégral,5,5,899cm³,true,true,true,true,true,true,true,true,true,true,true,true,NA,NA,true,true,true,true,true,NA,true,true,true,NA,true,true,true,NA,true,true,true,NA,NA,true,true,true,true,true,NA,NA,NA,NA,NA,true,true,true,true,true,true,true,NA,NA,true,NA,true,true,true,true,true,true,true,true,NA,true,true,true,NA,NA
51 000,98 000km,02.2019,Essence,Manuelle,4cv,Traction,Citadine,16.12.2024,Nabeul,Seat,Ibiza,Gris Shark,Noir,Tissu,5,4,999cm³,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75 000,80 000km,02.2020,Essence,Automatique,6cv,Traction,SUV/4x4,16.12.2024,Nabeul,Toyota,C-HR,Bleu,Noir,Tissu,5,5,1198cm³,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228 000,98 000km,02.2021,Hybride rechargeable diesel,Automatique,11cv,Traction,Berline,16.12.2024,Nabeul,Mercedes-Benz,Classe E,Gris Shark,Noir,Alcantara,5,5,1998cm³,true,true,true,true,true,true,true,true,true,true,true,true,NA,NA,true,true,NA,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
32 500,47 000km,10.2021,Essence,Manuelle,5cv,Traction,Citadine,16.12.2024,Nabeul,Mahindra,KUV 100,Rouge,Noir,Tissu,5,5,1198cm³,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95 000,123 000km,02.2021,Essence,Manuelle,8cv,Traction,SUV/4x4,16.12.2024,Nabeul,Volkswagen,Tiguan,Gris Shark,Noir,Tissu,5,5,1499cm³,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55 000,78 000km,10.2021,Hybride essence,Manuelle,4cv,Traction,Coupé,16.12.2024,Nabeul,Fiat,500,Blanc,Beige,Cuir partiel,3,5,1198cm³,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49 500,68 000km,10.2021,Essence,Manuelle,5cv,Traction,Citadine,16.12.2024,Nabeul,Fiat,Tipo 5 portes,Gris Shark,Noir,Tissu,5,5,1398cm³,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49 500,138 000km,09.2020,Diesel,Manuelle,4cv,Traction,Citadine,16.12.2024,Nabeul,Renault,Clio,Blanc,Noir,Tissu,5,5,1498cm³,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
